row_index,docket_no,link,trademark,status,reg_no,app_ser_no,first_use_date,goods,eu_reg_no,filing_date,registration_date,next_action,owner_breeder,party_selling,status_category,needs_review,needs_review_reasons,source_row
16,,,Rose de Bretagne,,,,,,,,,,NIRP,,,True,Missing status,227
17,,,Rose de Tende,,,,,,,,,,NIRP,,,True,Missing status,228
18,,,Rose De Rennes,,,,,,,,,,NIRP,,,True,Missing status,229
19,,,Rosemantic Red,,,,,,,,,,NIRP,,,True,Missing status,230
20,,,Tresor Du Jardin,,,,,,,,,,NIRP,,,True,Missing status,231
21,,,Sweet Delight,,,,,,,,,,NIRP,,,True,Missing status,232
22,,,Anastasia,,,,,,,,,,NIRP,,,True,Missing status,233
23,,,Mexican Girl,,,,,,,,,,NIRP,,,True,Missing status,234
,,,White Angel,,,,,,,,,,NIRP,,,True,Missing status,235
,,,Only Teardrops,,,,2025-11-01T00:00:00,,,,,,Roses Forever,,,True,Missing status,238
,,,Royal Diva,N/A,N/A,N/A,2025-11-01T00:00:00,,N/A,N/A,N/A,,Roses Forever,,Not Applicable,False,,239
,,,Roseville,,,,2025-11-01T00:00:00,,,,,,Roses Forever,,,True,Missing status,240
,,,Royal Viking,,,,2025-11-01T00:00:00,,,,,,Roses Forever,,,True,Missing status,241
,,,So Must Love,,,,2025-11-01T00:00:00,,,,,,Roses Forever,,,True,Missing status,242
,,,Sunshine Forever,,,,2025-11-01T00:00:00,,,,,,Roses Forever,,,True,Missing status,243
,,,The Most Beautiful,,,,2025-11-01T00:00:00,,,,,,Roses Forever,,,True,Missing status,244
,,,Winner Takes it All,,,,2025-11-01T00:00:00,,,,,,Roses Forever,,,True,Missing status,245
,,,Macaron Rose,,,,2025-11-01T00:00:00,,,,,,Roses Orard Selection Edition,,,True,Missing status,248
,,,Maison Mariée,,,,2025-11-01T00:00:00,,,,,,Roses Orard Selection Edition,,,True,Missing status,249
,,,Maison Pêche,,,,2025-11-01T00:00:00,,,,,,Roses Orard Selection Edition,,,True,Missing status,250
,,,Maison Rouge,,,,2025-11-01T00:00:00,,,,,,Roses Orard Selection Edition,,,True,Missing status,251
,,,Paris Eiffel Jumping,,,,2025-11-01T00:00:00,,,,,,Roses Orard Selection Edition,,,True,Missing status,252
,,,St Tropez,,,,,,,,,,Roses Orard Selection Edition,,,True,Missing status,253
,,,Beauty from Within,,,,2025-11-01T00:00:00,,,,,,Roses Orard Selection Edition,,,True,Missing status,254
,,,Beautiful Day,,,,,,,,,,Fryer,,,True,Missing status,257
,,,BeeHive,,,,2025-11-01T00:00:00,,,,,,Dummen Orange,,,True,Missing status,258
,,,Betty Boop,,,,,,,,,,Tom Carruth,,,True,Missing status,259
,,,Catalina,,,,2025-11-01T00:00:00,,,,,,Dummen Orange,,,True,Missing status,260
