row_index,docket_no,link,trademark,status,reg_no,app_ser_no,first_use_date,goods,eu_reg_no,filing_date,registration_date,next_action,owner_breeder,party_selling,status_category,needs_review,needs_review_reasons,source_row
48,93002.0489999976,,Midnight Magic,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,78
49,93002.0499999975,,Moco Muse,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,79
50,93002.0509999974,,My Girl,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,80
51,93002.0519999973,,Nadia Duran,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,81
52,93002.0529999972,,Nynke,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,82
53,93002.0539999971,,Norine,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,83
54,93002.054999997,,Orange Trendsetter,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,84
55,93002.0559999969,,Perky Parasol,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,85
56,93002.0569999968,,Plush Parasol,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,86
57,93002.0579999967,,Rosanella,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,87
58,93002.0589999966,,Sandia Parasol,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,88
59,93002.0599999965,,Sandringham,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,89
60,93002.0609999964,,Sandstone,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,90
61,93002.0619999963,,Shocking Veil,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,91
62,93002.0629999962,,Storybook Romance,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,92
63,93002.0639999961,,Summerrose,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,93
64,93002.064999996,,Sunset Babylon Eyes,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,94
65,93002.0659999959,,Swanky Veil,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,95
66,93002.0669999958,,Sweet Flow,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,True,Duplicate trademark name also on source row 43,96
67,93002.0679999957,,Sweet Mantiquilla,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,97
68,93002.0689999956,,The Artist's Light,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,98
69,93002.0699999955,,Valentina,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,99
70,93002.0709999954,,Wedding Bells,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,100
71,93002.0719999953,,Sunset Parasol,To Be Filed,NYA,,,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,101
72,93002.0729999952,,Chiaroscuro,To Be Filed,NYA,,2025-11-01T00:00:00,,,,NYA,,Interplant Roses B.V.,,To Be Filed,False,,102
1,93003.001,,Bourbon Street,Pending,N/A,50051493,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,105
2,93003.002,,Georgia Peach (varietal),To Be Filed,N/A,,,Roses,N/A,,N/A,,Jan Spek Rozen,,To Be Filed,False,,106
3,93003.003,,Bloomsbury,Pending,N/A,50051501,2025-11-01T00:00:00,Roses,N/A,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,107
4,93003.004,,Paradise Beach,Pending,N/A,50051515,2025-11-01T00:00:00,Roses,N/A,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,108
5,93003.005,,Bridgerton,Pending,N/A,50051527,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,109
6,93003.006,,South Park (varietal),To Be Filed,N/A,,,Roses,N/A,,N/A,,Jan Spek Rozen,,To Be Filed,False,,110
7,93003.007,,Royal Park (2666367 flower bulbs),To Be Filed,N/A,,2025-11-01T00:00:00,Roses,N/A,,N/A,,Jan Spek Rozen,,To Be Filed,False,,111
8,93003.0079999999,,Cap d'Antibes,Pending,N/A,50051550,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,112
9,93003.0089999999,spelled with an a,Shades of Grey,Pending,N/A,50051582,2025-11-01T00:00:00,Roses,N/A,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,113
10,93003.0099999999,spelled 'Whitby',Whitby Abbey,Pending,N/A,50051597,2025-11-01T00:00:00,Roses,N/A,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,114
11,93003.0109999999,,Cassandra (varietal),To Be Filed,N/A,,2025-11-01T00:00:00,Roses,,,N/A,,Jan Spek Rozen,,To Be Filed,False,,115
12,93003.0119999999,,Hearts (registered with roses 3395401 and varietal),To Be Filed,N/A,,2025-11-01T00:00:00,Roses,N/A,,N/A,,Jan Spek Rozen,,To Be Filed,False,,116
13,93003.0129999999,,Notting Hill (varietal),To Be Filed,N/A,,2025-11-01T00:00:00,Roses,N/A,,N/A,,Jan Spek Rozen,,To Be Filed,False,,117
14,93003.0139999999,,Charming Corneille (varietal),To Be Filed,N/A,,2025-11-01T00:00:00,Roses,,,N/A,,Jan Spek Rozen,,To Be Filed,False,,118
15,93003.0149999999,,Darlington,Pending,N/A,50051623,2025-11-01T00:00:00,Roses,N/A,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,119
16,93003.0159999998,,Emma WoodHouse,Pending,N/A,50051637,2025-11-01T00:00:00,Roses,N/A,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,120
17,93003.0169999998,,Dance Party (Interplant varietal?),To Be Filed,N/A,,,Roses,,,N/A,,Jan Spek Rozen,,To Be Filed,False,,121
22,93003.0179999998,,Jillian,Pending,N/A,50051651,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,122
23,93003.0189999998,,Living Coral,Pending,N/A,50051666,,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,123
24,93003.0199999998,,Love Fountain,Pending,N/A,50051678,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,124
25,93003.0209999998,,Marble Arch,Pending,N/A,50051689,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,125
26,93003.0219999998,,My Sweet Love (varietal),To Be Filed,N/A,,2025-11-01T00:00:00,Roses,,,N/A,,Jan Spek Rozen,,To Be Filed,False,,126
27,93003.0229999998,,Navy,Pending,N/A,50051929,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,127
28,93003.0239999998,,Northanger Abbey (varietal),To Be Filed,N/A,,,Roses,,,N/A,,Jan Spek Rozen,,To Be Filed,False,,128
29,93003.0249999997,,Orangerie,Pending,N/A,50051945,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,129
30,93003.0259999997,,Patchouli,Pending,N/A,50051958,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,130
31,93003.0269999997,,Pride of Jane,Pending,N/A,50051972,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,131
32,93003.0279999997,,Lady Ella,Pending,N/A,50051990,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,132
33,93003.0289999997,,Pink 'n Pretty,Pending,N/A,50052002,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,133
34,93003.0299999997,,Royal Romance (varietal),To Be Filed,N/A,,2025-11-01T00:00:00,Roses,,,N/A,,Jan Spek Rozen,,To Be Filed,False,,134
35,93003.0309999997,,Solsbury Hill,Pending,N/A,50052019,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,135
36,93003.0319999997,,Stanley Abbey,Pending,N/A,50052039,2025-11-01T00:00:00,Roses,,2026-08-14T00:00:00,N/A,,Jan Spek Rozen,,Pending,False,,136
37,93003.0329999997,,Sunday Brunch (varietal),To Be Filed,N/A,,2025-11-01T00:00:00,Roses,,,N/A,,Jan Spek Rozen,,To Be Filed,False,,137
1,93004.001,,ALABASTER,Registered,7593982,98117688,2025-11-01T00:00:00,"live plants, namely, rose plants, excluding mint and celery",,2023-08-04T00:00:00,2024-12-10T00:00:00,,Rosen Tantau KG,April & Ashley,Registered,False,,140
2,93004.002,,BARONESSE,Registered,7593983,98117709,2014-11-17T00:00:00,"live plants, namely, rose plants, excluding barley",,2023-08-04T00:00:00,2024-12-10T00:00:00,,Rosen Tantau KG,?,Registered,False,,141
3,93004.003,we only have white ashley ',ASHLEY,"Abandoned (will refile, see 93004.4400 below)",N/A,98117724,2014-11-17T00:00:00,"live plants, namely, rose plants",,2023-08-04T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Abandoned,False,,142
4,93004.004,,MARIATHERESIA,Pending,NYA,98117754,ITU,"live plants, namely, rose plants",,2023-08-04T00:00:00,NYA,,Rosen Tantau KG,?,Pending,False,,143
5,93004.005,,Alsterwasser,Pending,NYA,99779594,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,144
6,93004.006,,Anni,Pending,NYA,99779625,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,08/29/26 Allowed for publication,Rosen Tantau KG,April & Ashley,Pending,False,,145
7,93004.0069999999,,White Ashley,To Be Filed,NYA,N/A,NEED DATE,Live plants; roses,N/A,N/A,N/A,,Rosen Tantau KG,April & Ashley,To Be Filed,False,,146
8,93004.0079999999,Piano,PIANO,Registered,3504651,77397918,44E Application,"Living plants and natural flowers, in particular roses and rose plants",,2008-02-15T00:00:00,2008-09-23T00:00:00,,Rosen Tantau KG,April & Ashley,Registered,False,,147
9,93004.0089999999,,Anuschka,Pending,NYA,99779653,2025-11-01T00:00:00,Live plants; roses,961016,2026-04-22T00:00:00,N/A,08/29/26 Allowed for publication,Rosen Tantau KG,April & Ashley,Pending,False,,148
10,93004.0099999999,DO NOT FILE,Barista,N/A,NYA,N/A,,See US Reg 5022199,German Reg. 302019023172,N/A,N/A,,Rosen Tantau KG,April & Ashley,Not Applicable,False,,149
11,93004.0109999999,,Belle de Noir,Pending,NYA,99779689,2025-11-01T00:00:00,,,2026-04-22T00:00:00,N/A,08/29/26 Allowed for publication,Rosen Tantau KG,April & Ashley,Pending,False,,150
12,93004.0119999999,we have 'lady capri',Capri,To Be Filed as ITU,NYA,N/A,2025-11-01T00:00:00,Live plants; roses,Benelux Reg 614829,N/A,N/A,,Rosen Tantau KG,?,To Be Filed,False,,151
13,93004.0129999999,,Tropicana,To Be Filed,NYA,N/A,2025-11-01T00:00:00,check varietal,German UK and EU Registrations,N/A,N/A,,Rosen Tantau KG,April & Ashley,To Be Filed,False,,152
14,93004.0139999999,,Berliner Morgen,Pending,NYA,99779731,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,08/29/26 Allowed for publication,Rosen Tantau KG,April & Ashley,Pending,False,,153
15,93004.0149999999,,Berliner Sonne,Pending,NYA,99779754,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,08/29/26 Allowed for publication,Rosen Tantau KG,April & Ashley,Pending,False,,154
16,93004.0159999998,,Bumblebee,Pending,NYA,99779786,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,"11/04/26 DL Reply to Office Action
08/26/26 Reply to Office Action Filed",Rosen Tantau KG,April & Ashley,Pending,False,,155
17,93004.0169999998,,Cappuccino,Pending,NYA,99779822,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,"11/04/26 DL Reply to Office Action
08/10/26 Reply to Office Action Filed",Rosen Tantau KG,April & Ashley,Pending,False,,156
18,,Circle of Life,Circle of Life,Abandoned,3098144,78654347,2025-11-01T00:00:00,live potted plants,,2005-06-20T00:00:00,2026-05-30T00:00:00,,Rosen Tantau KG,,Abandoned,False,,157
19,93004.0179999998,Circle of Life,Circle of Life (refile new application),Pending,NYA,99939797,2025-11-01T00:00:00,Live plants; roses,,2026-07-14T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,158
20,93004.0189999998,remove R symbol,Country Spirit Frieda,Pending,NYA,99939838,2025-11-01T00:00:00,Live plants; roses,registered,2026-07-14T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,159
21,93004.0199999998,,Wildberry,Pending,NYA,99779843,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,08/29/26 Allowed for publication,Rosen Tantau KG,April & Ashley,Pending,False,,160
22,93004.0209999998,remove R symbol,Country Spirit Peonia,Pending,NYA,99939860,2025-11-01T00:00:00,Live plants; roses,registered,2026-07-14T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,161
23,93004.0219999998,,Debütantin,Pending,NYA,99779870,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,162
24,93004.0229999998,,Divina,Pending,NYA,99794126,2025-11-01T00:00:00,Live plants; roses,registered,2026-04-29T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,163
25,93004.0239999998,,Fontenay,Pending,NYA,99779908,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,08/29/26 Allowed for publication,Rosen Tantau KG,April & Ashley,Pending,False,,164
26,93004.0249999998,,Forever Yours,Pending,NYA,99939895,2024-11-15T00:00:00,Live plants; roses,,2026-07-14T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,165
27,93004.0259999998,remove R symbol,Grandma's Finest Mary,Pending,NYA,99939940,2025-11-01T00:00:00,Live plants; roses,,2026-07-14T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,166
28,93004.0269999998,remove R symbol,Grandma's Finest Romy,Pending,NYA,99939954,2025-11-01T00:00:00,Live plants; roses,,2026-07-14T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,167
29,93004.0279999998,,Guten Morgen,Pending,NYA,99779945,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,08/29/26 Allowed for publication,Rosen Tantau KG,April & Ashley,Pending,False,,168
30,93004.0289999998,,Inkandeszenz,Pending,NYA,99779969,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,08/29/26 Allowed for publication,Rosen Tantau KG,April & Ashley,Pending,False,,169
31,93004.0299999998,,Lady Capri,Pending,NYA,99940002,2025-11-01T00:00:00,Live plants; roses,,2026-07-14T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,170
32,93004.0309999998,,Lampion,Pending,NYA,99780143,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,171
33,93004.0319999998,,Maleica,Pending,NYA,99780168,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,11/28/26 DL Reply to Office Action,Rosen Tantau KG,April & Ashley,Pending,False,,172
34,93004.0329999999,,Mila,Pending,NYA,99780199,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,173
35,93004.0339999999,,Orienta Aylin,Pending,NYA,99780235,2025-11-01T00:00:00,Live plants; roses,,2026-04-22T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,174
36,93004.0349999999,Spelling? (Perennial?),Perennial Domino,Pending,NYA,99940038,2025-11-01T00:00:00,Live plants; roses,,2026-07-14T00:00:00,N/A,,Rosen Tantau KG,April & Ashley,Pending,False,,175
37,93004.0359999999,refer to previous registration,Pink Piano,Pending,NYA,99794198,2025-11-01T00:00:00,Live plants; roses,,2026-04-29T00:00:00,N/A,"11/01/26 DL Reply to Office Action
08/10/26 email to Examiner agreeing to disclaimer (no Reply needed)",Rosen Tantau KG,April & Ashley,Pending,False,,176
38,93004.0369999999,,Polar Star,To Be Filed,,,NEED DATE,,,,,,Rosen Tantau KG,April & Ashley,To Be Filed,False,,177
39,93004.0379999999,Scentuous,Scentuous,Registered,6415288,90204260,2019-08-30T00:00:00,Live plants,,2020-09-23T00:00:00,2021-07-13T00:00:00,,"Certfied Roses, Inc.",April & Ashley,Registered,False,,178
